id_cat_child,title,price,article,shorts_code
1,МИРАТОРГ Полнорационный сухой корм из ароматной курочки для щенков всех пород,z104839,4670081573753,10кг
1,МИРАТОРГ Полнорационный сухой корм из ароматной курочки для щенков всех пород,z104839,4670081573753,10кг
1,МИРАТОРГ Полнорационный сухой корм из ароматной курочки для щенков всех пород,z104838,4670081573760,500гр
1,МИРАТОРГ Полнорационный сухой корм из ароматной курочки для щенков всех пород,z104838,4670081573760,500гр
1,РОДНЫЕ КОРМА сухой корм для взрослых собак ГОВЯДИНА 22/10,68613,4627075538298,16.38кг
1,РОДНЫЕ КОРМА сухой корм для взрослых собак ГОВЯДИНА 22/10,68613,4627075538298,16.38кг
1,РОДНЫЕ КОРМА сухой корм для взрослых собак ГОВЯДИНА 22/10,68612,4627075538274,2.045кг
1,РОДНЫЕ КОРМА сухой корм для взрослых собак ГОВЯДИНА 22/10,68612,4627075538274,2.045кг
2,РОДНЫЕ КОРМА консервы для щенков Мясное угощение с Ягненком,64590,4607076138147,340г
2,РОДНЫЕ КОРМА консервы для щенков Мясное угощение с Ягненком,64590,4607076138147,340г
2,РОДНЫЕ КОРМА консервы для щенков Мясное угощение с Ягненком,65065,4607076138420,100г
2,РОДНЫЕ КОРМА консервы для щенков Мясное угощение с Ягненком,65065,4607076138420,100г
2,РОДНЫЕ КОРМА консервы для щенков Мясное угощение с Ягненком,65065up,4607076138420up,24х100г
2,РОДНЫЕ КОРМА консервы для щенков Мясное угощение с Ягненком,65065up,4607076138420up,24х100г
2,РОДНЫЕ КОРМА консервы для щенков Мясное угощение с Ягненком,64590up,4607076138147up,12х340г
2,РОДНЫЕ КОРМА консервы для щенков Мясное угощение с Ягненком,64590up,4607076138147up,12х340г
3,ROYAL CANIN VD DIABETIC ветеринарная диета для собак при сахарном диабете,77482,4627150237108,"1,5кг"
3,ROYAL CANIN VD DIABETIC ветеринарная диета для собак при сахарном диабете,77482,4627150237108,"1,5кг"
3,Farmina Vet Life Neutered Диета для Кастрированных Или Стерилизованных Собак Массой до 10 Кг Профилактика Мкб,64045,8010276022455,2кг
3,Farmina Vet Life Neutered Диета для Кастрированных Или Стерилизованных Собак Массой до 10 Кг Профилактика Мкб,64045,8010276022455,2кг
4,ТитБит Колбаски Особые с омега 44715 длясобак маленьких и средних пород 30гр,z79617,4690538011652,шт
4,ТитБит Колбаски Особые с омега 44715 длясобак маленьких и средних пород 30гр,z79617,4690538011652,шт
5,"Gigwi Емкость для Корма, Маленькая. Пристегивается К Поясу",z50236,4627077752210,1шт
5,"Gigwi Емкость для Корма, Маленькая. Пристегивается К Поясу",z50236,4627077752210,1шт
6,"Beaphar Vitamine-B-Komplex Комплекс Витаминов Группы в для Кошек, Собак, Птиц 50 Мл 12523",04177,8711231125234,50мл.
6,"Beaphar Vitamine-B-Komplex Комплекс Витаминов Группы в для Кошек, Собак, Птиц 50 Мл 12523",04177,8711231125234,50мл.
6,8 In 1 Excel Calcium.Эксель Кальций,36078,4048422109433,470таб.
6,8 In 1 Excel Calcium.Эксель Кальций,36078,4048422109433,470таб.
7,HOMEPET Игрушка для собак Dental регби TPR 7см X059,70121,4627150131208,шт
7,HOMEPET Игрушка для собак Dental регби TPR 7см X059,70121,4627150131208,шт
7,Trixie Игрушка Веревка Разноцветная с Узлом,08776,4011905032719,20см
7,Trixie Игрушка Веревка Разноцветная с Узлом,08776,4011905032719,20см
7,Trixie Игрушка Веревка Разноцветная с Узлом,08778,4011905032733,37см
7,Trixie Игрушка Веревка Разноцветная с Узлом,08778,4011905032733,37см
7,Trixie Игрушка Веревка Разноцветная с Узлом,08775,4011905032702,25см
7,Trixie Игрушка Веревка Разноцветная с Узлом,08775,4011905032702,25см
